"targetanimal","bodies","clothes","furniture","garden","electro","pensils","toys","buildmaterials","dishes","music","sport","transport","instruments","distractors","targetanimals","targetword_series2","fruits","animals","","","",""
"бобр","","","","","","","","","","","","","","","","","","","","","",""
"гантель","","","","","","","","","","","","","","","","","","","","","",""
"обезьяна","","","","","","","","","","","","","","","","","","","","","",""
"собака","","","","","","","","","","","","","","","","","","","","","",""
"кошка","","","","","","","","","","","","","","","","","","","","","",""
"лошадь","","","","","","","","","","","","","","","","","","","","","",""
"буфет","","","","","","","","","","","","","","","","","","","","","",""
"носорог","","","","","","","","","","","","","","","","","","","","","",""
"леопард","","","","","","","","","","","","","","","","","","","","","",""
"бегемот","","","","","","","","","","","","","","","","","","","","","",""
"гипс","","","","","","","","","","","","","","","","","","","","","",""
"скрепка","","","","","","","","","","","","","","","","","","","","","",""
"росомаха","","","","","","","","","","","","","","","","","","","","","",""
"хорек","","","","","","","","","","","","","","","","","","","","","",""
"дикобраз","","","","","","","","","","","","","","","","","","","","","",""
"енот","","","","","","","","","","","","","","","","","","","","","",""
"коала","","","","","","","","","","","","","","","","","","","","","",""
"косуля","","","","","","","","","","","","","","","","","","","","","",""
"горилла","","","","","","","","","","","","","","","","","","","","","",""
"грабли","","","","","","","","","","","","","","","","","","","","","",""
"щенок","","","","","","","","","","","","","","","","","","","","","",""
"котенок","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
